,Employee_ID,Full_Name,Age,Department,Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
16,EMP1016,Alice Brown,25.0,DevOps,Illinois,Inactive,2024-04-23,94867.33,alice.brown@example.com,7713334475,Poor,False
17,EMP1017,Grace Garcia,30.0,Finance,Texas,Pending,2024-11-28,100377.65,grace.garcia@example.com,2639343625,Average,True
18,EMP1018,Charlie Garcia,30.0,Cloud Tech,Nevada,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,2044397358,Excellent,False
19,EMP1019,Charlie Williams,35.0,Admin,Illinois,Pending,2020-01-02,91926.12,charlie.williams@example.com,7107256365,Average,True
20,EMP1020,Bob Miller,35.0,HR,New York,Active,2021-05-08,111460.67,bob.miller@example.com,9411800536,Excellent,True
21,EMP1021,Bob Jones,40.0,Cloud Tech,Illinois,Active,2020-09-19,96182.56,bob.jones@example.com,5990048963,Good,False
22,EMP1022,Charlie Johnson,35.0,Sales,Illinois,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,6528092427,Average,True
23,EMP1023,David Garcia,35.0,Finance,Nevada,Pending,2022-02-03,80667.01,david.garcia@example.com,7572158623,Excellent,False
24,EMP1024,Bob Brown,30.0,Admin,Texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,1502745643,Good,True
25,EMP1025,David Miller,25.0,Cloud Tech,Nevada,Pending,2020-04-30,66025.92,david.miller@example.com,9485625727,Average,False
26,EMP1026,Frank Miller,25.0,Sales,New York,Inactive,2023-10-02,83979.01,frank.miller@example.com,7032032073,Average,False
27,EMP1027,Heidi Johnson,30.0,Finance,Florida,Active,2020-07-12,56785.16,heidi.johnson@example.com,2761707586,Excellent,True
28,EMP1028,Grace Garcia,40.0,Finance,Nevada,Active,2023-10-11,95741.88,grace.garcia@example.com,7712151341,Excellent,False
29,EMP1029,Alice Brown,40.0,DevOps,California,Active,2021-05-24,63411.31,alice.brown@example.com,2849939088,Excellent,True
30,EMP1030,Charlie Jones,40.0,Admin,California,Inactive,2021-05-26,111214.02,charlie.jones@example.com,2613715040,Good,True
31,EMP1031,Bob Smith,25.0,DevOps,Illinois,Active,2020-07-10,114845.69,bob.smith@example.com,6591520176,Excellent,True
32,EMP1032,Charlie Brown,40.0,Finance,Florida,Active,2024-11-05,78072.82,charlie.brown@example.com,7490509758,Average,False
33,EMP1033,Grace Johnson,25.0,Finance,California,Inactive,2021-08-07,79610.52,grace.johnson@example.com,2304501895,Average,False
34,EMP1034,Heidi Miller,30.0,Admin,California,Active,2020-04-29,90542.62,heidi.miller@example.com,1642361031,Excellent,True
35,EMP1035,Frank Jones,25.0,Cloud Tech,Illinois,Inactive,2022-10-26,114357.1,frank.jones@example.com,6642147648,Excellent,True
36,EMP1036,Alice Brown,30.0,Cloud Tech,New York,Active,2023-05-03,54757.26,alice.brown@example.com,2515837766,Poor,False
37,EMP1037,Grace Smith,25.0,Sales,New York,Pending,2023-05-02,52781.92,grace.smith@example.com,4996165925,Average,True
38,EMP1038,Frank Smith,35.0,Admin,Nevada,Pending,2021-10-05,66708.02,frank.smith@example.com,6108573277,Good,True
39,EMP1039,Eva Williams,40.0,HR,Texas,Active,2022-07-27,93481.15,eva.williams@example.com,8147617421,Poor,False
40,EMP1040,Bob Williams,25.0,Sales,New York,Pending,2021-06-27,59271.96,bob.williams@example.com,4386490809,Excellent,True
41,EMP1041,Bob Davis,30.0,HR,California,Active,2022-06-16,108362.15,bob.davis@example.com,8186617944,Excellent,False
42,EMP1042,Alice Johnson,30.0,HR,Nevada,Active,2024-12-03,59400.38,alice.johnson@example.com,4918017225,Average,True
43,EMP1043,Bob Garcia,30.0,Admin,California,Inactive,2023-05-23,64744.08,bob.garcia@example.com,164597793,Excellent,False
44,EMP1044,Eva Brown,30.0,Finance,California,Active,2020-07-08,94399.91,eva.brown@example.com,5232194167,Good,True
45,EMP1045,Alice Brown,25.0,HR,New York,Pending,2021-06-20,61310.74,alice.brown@example.com,61027768,Average,True
46,EMP1046,Grace Garcia,30.0,Cloud Tech,Texas,Active,2024-12-13,98371.37,grace.garcia@example.com,7499564121,Excellent,False
47,EMP1047,Alice Davis,35.0,Sales,Illinois,Active,2022-05-30,58921.19,alice.davis@example.com,310303722,Average,True
48,EMP1048,Alice Miller,35.0,Admin,Nevada,Active,2023-09-27,57195.55,alice.miller@example.com,6831472759,Excellent,False
49,EMP1049,Grace Miller,30.0,DevOps,New York,Active,2024-11-05,61375.12,grace.miller@example.com,1227770792,Excellent,True
50,EMP1050,Charlie Davis,40.0,Cloud Tech,New York,Pending,2021-11-11,104767.05,charlie.davis@example.com,3496050165,Excellent,False
51,EMP1051,David Miller,35.0,Admin,Nevada,Active,2022-02-22,111051.67,david.miller@example.com,7998407677,Good,False
52,EMP1052,David Williams,30.0,Finance,California,Inactive,2024-08-07,105674.18,david.williams@example.com,9973080694,Good,False
53,EMP1053,Alice Brown,30.0,Finance,California,Inactive,2024-11-05,54859.45,alice.brown@example.com,8146717956,Average,False
54,EMP1054,Frank Davis,30.0,Finance,Nevada,Pending,2021-11-09,115746.6,frank.davis@example.com,6024375737,Excellent,True
55,EMP1055,Eva Brown,30.0,Sales,California,Active,2020-08-10,91759.99,eva.brown@example.com,3959724664,Excellent,True
56,EMP1056,Frank Garcia,40.0,Sales,Illinois,Active,2022-02-27,112965.33,frank.garcia@example.com,7293417222,Good,False
57,EMP1057,Alice Smith,40.0,Cloud Tech,Illinois,Pending,2023-11-07,100360.1,alice.smith@example.com,2971674337,Excellent,False
58,EMP1058,David Williams,35.0,Finance,Texas,Pending,2021-11-07,93620.88,david.williams@example.com,54522800,Good,False
59,EMP1059,Bob Jones,35.0,Sales,California,Pending,2022-04-16,72832.8,bob.jones@example.com,5619318373,Excellent,True
60,EMP1060,Charlie Williams,30.0,Finance,Nevada,Inactive,2023-10-19,102369.42,charlie.williams@example.com,5508428909,Average,True
61,EMP1061,Eva Davis,40.0,Sales,Texas,Inactive,2021-08-10,64712.79,eva.davis@example.com,7711991807,Excellent,True
62,EMP1062,Frank Jones,40.0,Finance,Florida,Pending,2021-03-13,85782.18,frank.jones@example.com,1213524786,Excellent,True
63,EMP1063,Charlie Smith,25.0,HR,Illinois,Pending,2023-07-20,93348.26,charlie.smith@example.com,1255213759,Poor,False
64,EMP1064,David Davis,35.0,Admin,New York,Active,2020-02-20,53234.96,david.davis@example.com,3754821455,Good,False
65,EMP1065,Bob Johnson,40.0,Finance,Nevada,Pending,2021-02-02,100284.21,bob.johnson@example.com,5328632665,Excellent,False
66,EMP1066,Grace Brown,30.0,Admin,Nevada,Pending,2020-01-12,112486.19,grace.brown@example.com,7850720810,Excellent,True
67,EMP1067,Bob Smith,40.0,Admin,New York,Pending,2022-11-26,82518.49,bob.smith@example.com,5562606028,Poor,True
68,EMP1068,Bob Brown,40.0,Admin,Florida,Pending,2022-12-23,119152.47,bob.brown@example.com,846684549,Poor,True
69,EMP1069,Heidi Miller,30.0,DevOps,Illinois,Inactive,2024-08-28,113479.83,heidi.miller@example.com,4892673898,Good,False
70,EMP1070,Charlie Johnson,40.0,Finance,California,Active,2024-09-16,94636.3,charlie.johnson@example.com,7563410855,Poor,False
71,EMP1071,Heidi Johnson,30.0,HR,Florida,Active,2024-01-01,70000.97,heidi.johnson@example.com,2884318847,Average,True
72,EMP1072,Frank Smith,30.0,Cloud Tech,New York,Active,2021-04-18,76812.47,frank.smith@example.com,5200894345,Poor,False
73,EMP1073,David Johnson,25.0,Finance,Florida,Inactive,2023-01-16,82614.7,david.johnson@example.com,8105485100,Average,True
74,EMP1074,Grace Jones,40.0,Sales,Nevada,Active,2024-10-20,111645.97,grace.jones@example.com,7490753997,Good,True
75,EMP1075,Heidi Johnson,25.0,HR,California,Inactive,2024-10-13,112414.91,heidi.johnson@example.com,9354492682,Good,False
76,EMP1076,David Brown,40.0,Admin,California,Inactive,2022-09-21,52031.74,david.brown@example.com,1589357125,Good,True
77,EMP1077,Grace Brown,30.0,Finance,New York,Pending,2022-12-29,51887.65,grace.brown@example.com,6110627370,Good,False
78,EMP1078,Alice Davis,25.0,DevOps,Florida,Active,2024-11-10,82318.89,alice.davis@example.com,5869886496,Good,True
79,EMP1079,Grace Brown,35.0,Admin,Florida,Inactive,2021-11-22,103286.08,grace.brown@example.com,6776228276,Average,False
80,EMP1080,Grace Davis,35.0,Cloud Tech,Florida,Active,2024-03-14,87759.33,grace.davis@example.com,2881377027,Average,False
81,EMP1081,Frank Brown,30.0,DevOps,Texas,Pending,2020-03-23,102796.32,frank.brown@example.com,5196115939,Good,False
82,EMP1082,David Jones,25.0,Sales,New York,Active,2020-09-15,83149.27,david.jones@example.com,8215454469,Poor,True
83,EMP1083,David Garcia,40.0,DevOps,California,Inactive,2020-12-09,92412.49,david.garcia@example.com,2296044326,Excellent,True
84,EMP1084,Bob Davis,30.0,HR,Texas,Pending,2020-02-22,115022.1,bob.davis@example.com,185106793,Good,False
85,EMP1085,Grace Williams,40.0,DevOps,New York,Active,2023-04-27,98343.01,grace.williams@example.com,9756792286,Poor,False
86,EMP1086,Bob Miller,35.0,DevOps,Illinois,Active,2024-06-18,118869.1,bob.miller@example.com,7725199662,Excellent,True
87,EMP1087,Frank Smith,30.0,Finance,Nevada,Inactive,2020-05-21,85417.26,frank.smith@example.com,6580741208,Good,True
88,EMP1088,Grace Brown,40.0,Cloud Tech,Florida,Inactive,2023-07-25,112410.25,grace.brown@example.com,4818139889,Good,True
89,EMP1089,Charlie Johnson,40.0,Admin,Nevada,Pending,2023-08-25,68905.77,charlie.johnson@example.com,9837801819,Average,False
90,EMP1090,Heidi Garcia,40.0,Finance,Nevada,Pending,2021-07-03,72561.32,heidi.garcia@example.com,4339718955,Excellent,True
91,EMP1091,Bob Brown,35.0,Finance,New York,Inactive,2023-03-13,92723.22,bob.brown@example.com,9070562607,Excellent,True
92,EMP1092,Alice Johnson,40.0,HR,New York,Inactive,2021-03-10,74837.75,alice.johnson@example.com,5641118241,Poor,False
93,EMP1093,Eva Miller,30.0,DevOps,California,Pending,2020-01-21,86163.91,eva.miller@example.com,2412462094,Average,True
94,EMP1094,David Miller,40.0,Finance,Illinois,Active,2023-11-15,83326.52,david.miller@example.com,2004615264,Average,True
95,EMP1095,Heidi Miller,25.0,Cloud Tech,California,Active,2022-04-08,98425.1,heidi.miller@example.com,4610339936,Average,True
96,EMP1096,Frank Johnson,40.0,Sales,Illinois,Inactive,2022-05-21,119764.2,frank.johnson@example.com,8861405785,Average,False
97,EMP1097,Frank Brown,40.0,HR,California,Inactive,2021-04-17,58445.91,frank.brown@example.com,1706304890,Excellent,False
98,EMP1098,Bob Miller,30.0,DevOps,New York,Active,2021-03-19,101702.33,bob.miller@example.com,3824967182,Excellent,False
99,EMP1099,Eva Jones,25.0,Admin,California,Active,2022-01-09,85547.87,eva.jones@example.com,2582386869,Good,False
100,EMP1100,Charlie Davis,35.0,Cloud Tech,Texas,Pending,2021-08-21,98819.22,charlie.davis@example.com,794200748,Good,False
101,EMP1101,Heidi Johnson,25.0,Cloud Tech,Illinois,Inactive,2022-08-19,83509.99,heidi.johnson@example.com,4653984027,Average,False
102,EMP1102,Alice Johnson,35.0,Finance,Texas,Active,2022-03-31,84422.26,alice.johnson@example.com,9141612845,Average,False
103,EMP1103,Alice Brown,30.0,Admin,Illinois,Inactive,2020-06-23,119574.27,alice.brown@example.com,3985547434,Average,True
104,EMP1104,Grace Johnson,30.0,Sales,Illinois,Active,2024-05-07,86580.08,grace.johnson@example.com,5379502096,Good,True
105,EMP1105,Heidi Johnson,35.0,Sales,Florida,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,26876810,Poor,False
106,EMP1106,Bob Miller,30.0,DevOps,New York,Inactive,2023-09-14,55683.12,bob.miller@example.com,8071569561,Poor,True
107,EMP1107,Bob Brown,30.0,Cloud Tech,Florida,Inactive,2023-11-12,91566.78,bob.brown@example.com,175370303,Good,True
108,EMP1108,David Miller,35.0,DevOps,California,Pending,2024-10-26,81782.19,david.miller@example.com,5319433749,Good,False
109,EMP1109,Eva Davis,30.0,DevOps,New York,Inactive,2020-08-23,88119.37,eva.davis@example.com,4793036148,Good,True
110,EMP1110,Eva Garcia,30.0,Cloud Tech,Texas,Active,2024-06-11,71532.83,eva.garcia@example.com,8728399920,Good,True
111,EMP1111,Eva Davis,40.0,Cloud Tech,Florida,Pending,2021-09-14,98981.36,eva.davis@example.com,9212493842,Good,True
112,EMP1112,Heidi Garcia,40.0,Cloud Tech,Illinois,Active,2024-12-26,80242.01,heidi.garcia@example.com,894870604,Good,True
113,EMP1113,Eva Miller,25.0,Cloud Tech,New York,Pending,2024-09-08,110236.18,eva.miller@example.com,6641877579,Average,True
114,EMP1114,Alice Davis,35.0,Sales,Texas,Active,2022-08-21,86327.47,alice.davis@example.com,3046875062,Average,False
115,EMP1115,Eva Brown,30.0,Sales,Florida,Pending,2024-07-25,84420.81,eva.brown@example.com,5190361331,Average,False
116,EMP1116,Frank Smith,40.0,HR,California,Pending,2020-08-02,110041.32,frank.smith@example.com,5411076094,Average,False
117,EMP1117,Heidi Miller,35.0,DevOps,Florida,Pending,2020-03-16,81837.81,heidi.miller@example.com,4317350582,Good,True
118,EMP1118,Frank Garcia,25.0,Finance,Illinois,Active,2023-09-08,110855.72,frank.garcia@example.com,1997179109,Poor,False
119,EMP1119,Alice Jones,30.0,Sales,California,Pending,2024-03-29,84894.52,alice.jones@example.com,651207048,Excellent,True
120,EMP1120,Alice Garcia,30.0,HR,Illinois,Active,2021-08-12,80668.13,alice.garcia@example.com,6110804660,Good,True
121,EMP1121,Bob Jones,25.0,DevOps,Illinois,Active,2023-12-24,61086.47,bob.jones@example.com,9639907675,Excellent,True
122,EMP1122,Grace Johnson,25.0,Admin,Texas,Inactive,2020-08-28,95339.68,grace.johnson@example.com,9915078592,Poor,True
123,EMP1123,Eva Davis,30.0,DevOps,California,Inactive,2024-09-05,83774.97,eva.davis@example.com,1109193927,Average,False
124,EMP1124,Heidi Jones,30.0,Admin,Florida,Active,2023-05-12,85576.86,heidi.jones@example.com,4567972319,Poor,False
125,EMP1125,Bob Garcia,35.0,Finance,California,Pending,2021-07-01,107438.46,bob.garcia@example.com,249685497,Good,True
126,EMP1126,Eva Johnson,30.0,Sales,Nevada,Inactive,2024-11-07,60401.68,eva.johnson@example.com,2274954507,Average,False
127,EMP1127,Frank Smith,35.0,Sales,Illinois,Inactive,2022-07-21,115299.66,frank.smith@example.com,9203880652,Good,True
128,EMP1128,David Brown,30.0,Finance,New York,Inactive,2020-03-30,72272.34,david.brown@example.com,3315377958,Average,False
129,EMP1129,Grace Brown,40.0,DevOps,Nevada,Active,2022-10-11,117537.71,grace.brown@example.com,9594652169,Excellent,False
130,EMP1130,Frank Brown,25.0,Finance,Texas,Pending,2022-07-24,51074.33,frank.brown@example.com,7303379336,Excellent,True
131,EMP1131,Charlie Jones,25.0,Finance,California,Inactive,2023-06-30,98489.32,charlie.jones@example.com,5636205014,Excellent,False
132,EMP1132,Frank Smith,30.0,Finance,California,Pending,2024-01-11,112120.71,frank.smith@example.com,812473949,Poor,True
133,EMP1133,Alice Jones,30.0,Cloud Tech,New York,Pending,2023-11-02,114465.04,alice.jones@example.com,334234257,Good,False
134,EMP1134,Bob Davis,40.0,Cloud Tech,Nevada,Pending,2024-11-22,57035.51,bob.davis@example.com,3230241025,Poor,True
135,EMP1135,Eva Jones,25.0,Cloud Tech,California,Active,2021-08-23,75092.43,eva.jones@example.com,1534735527,Excellent,True
136,EMP1136,David Smith,30.0,Finance,Illinois,Pending,2024-06-11,62603.98,david.smith@example.com,9611223385,Good,False
137,EMP1137,Grace Smith,30.0,DevOps,New York,Inactive,2023-04-09,60018.24,grace.smith@example.com,5596309937,Excellent,False
138,EMP1138,Eva Davis,40.0,HR,Nevada,Active,2024-07-05,82567.73,eva.davis@example.com,4253042896,Poor,True
139,EMP1139,Charlie Smith,25.0,Finance,California,Pending,2021-09-04,94725.71,charlie.smith@example.com,3179128684,Poor,False
140,EMP1140,Eva Garcia,40.0,HR,New York,Inactive,2024-10-13,83824.56,eva.garcia@example.com,7872558776,Poor,False
141,EMP1141,Frank Smith,30.0,HR,Nevada,Inactive,2020-02-14,118456.11,frank.smith@example.com,4969033372,Excellent,True
142,EMP1142,Eva Brown,25.0,Sales,Nevada,Pending,2020-04-10,113743.19,eva.brown@example.com,6346692547,Good,True
143,EMP1143,Eva Garcia,30.0,Sales,California,Active,2023-07-27,63309.24,eva.garcia@example.com,1214785389,Good,False
144,EMP1144,Charlie Garcia,25.0,DevOps,Nevada,Active,2021-09-24,105202.73,charlie.garcia@example.com,7895677664,Excellent,True
145,EMP1145,Frank Davis,30.0,Cloud Tech,California,Inactive,2024-03-10,79085.22,frank.davis@example.com,7546027340,Good,True
146,EMP1146,Frank Williams,30.0,Sales,California,Active,2021-06-10,113983.43,frank.williams@example.com,5148881430,Excellent,True
147,EMP1147,Eva Williams,35.0,Cloud Tech,Florida,Active,2020-10-15,102790.6,eva.williams@example.com,1150835353,Good,False
148,EMP1148,Grace Smith,30.0,HR,Texas,Inactive,2020-01-29,68512.1,grace.smith@example.com,4439284043,Average,False
149,EMP1149,Frank Garcia,35.0,Sales,Florida,Pending,2022-01-30,57584.23,frank.garcia@example.com,5669078262,Average,True
150,EMP1150,Alice Williams,30.0,Sales,California,Pending,2021-03-29,95335.67,alice.williams@example.com,3373898774,Poor,False
151,EMP1151,Heidi Williams,35.0,DevOps,Florida,Active,2020-10-13,53174.28,heidi.williams@example.com,1536637779,Average,True
152,EMP1152,Heidi Smith,25.0,Cloud Tech,New York,Pending,2020-10-04,77205.21,heidi.smith@example.com,5292407552,Average,False
153,EMP1153,Grace Williams,30.0,DevOps,Nevada,Active,2024-12-18,79041.92,grace.williams@example.com,6668459089,Average,True
154,EMP1154,Heidi Jones,30.0,Finance,California,Active,2023-11-14,75937.1,heidi.jones@example.com,2259999662,Excellent,True
155,EMP1155,David Johnson,35.0,Cloud Tech,Nevada,Inactive,2023-01-20,113118.73,david.johnson@example.com,6186371596,Average,False
156,EMP1156,Alice Davis,40.0,HR,New York,Active,2024-10-02,107693.38,alice.davis@example.com,4121820969,Average,True
157,EMP1157,David Johnson,30.0,Cloud Tech,Texas,Inactive,2021-05-13,119217.46,david.johnson@example.com,2316433480,Poor,False
158,EMP1158,David Smith,25.0,Sales,New York,Pending,2021-03-18,106913.71,david.smith@example.com,7058025661,Average,False
159,EMP1159,Charlie Brown,30.0,Cloud Tech,California,Active,2020-09-23,87815.08,charlie.brown@example.com,1286716322,Average,True
160,EMP1160,Bob Davis,25.0,Admin,Texas,Inactive,2024-06-05,105190.21,bob.davis@example.com,4672994937,Good,True
161,EMP1161,Alice Smith,30.0,HR,Texas,Active,2024-02-28,79467.24,alice.smith@example.com,7430271692,Poor,False
162,EMP1162,Bob Garcia,40.0,Finance,California,Pending,2023-04-30,57633.78,bob.garcia@example.com,8597779013,Poor,True
163,EMP1163,Alice Brown,30.0,HR,Florida,Pending,2020-03-04,54257.78,alice.brown@example.com,7546926328,Poor,True
164,EMP1164,Grace Johnson,40.0,DevOps,Texas,Inactive,2023-12-29,113679.06,grace.johnson@example.com,6762916031,Poor,True
165,EMP1165,Bob Smith,35.0,Sales,New York,Active,2020-09-15,69251.12,bob.smith@example.com,4841376814,Poor,True
166,EMP1166,Frank Garcia,40.0,Sales,Illinois,Inactive,2022-07-18,85388.58,frank.garcia@example.com,1185672437,Poor,True
167,EMP1167,Bob Davis,30.0,DevOps,New York,Inactive,2022-07-13,112166.37,bob.davis@example.com,701765635,Excellent,False
168,EMP1168,Heidi Davis,40.0,Finance,Nevada,Active,2021-10-02,79873.48,heidi.davis@example.com,41257770,Average,False
169,EMP1169,Frank Miller,30.0,DevOps,Florida,Active,2020-07-05,108224.03,frank.miller@example.com,1837274219,Poor,True
170,EMP1170,Bob Garcia,35.0,Admin,Illinois,Active,2023-04-16,116963.72,bob.garcia@example.com,9124186209,Average,True
171,EMP1171,Bob Jones,40.0,HR,Nevada,Inactive,2024-11-12,114109.06,bob.jones@example.com,4275230836,Average,True
172,EMP1172,Eva Williams,30.0,HR,California,Active,2023-03-29,85518.88,eva.williams@example.com,816470899,Excellent,False
173,EMP1173,Heidi Brown,30.0,Cloud Tech,California,Pending,2022-01-22,58041.97,heidi.brown@example.com,6335331059,Poor,True
174,EMP1174,David Garcia,40.0,Sales,Illinois,Pending,2023-10-14,94988.94,david.garcia@example.com,531312205,Good,False
175,EMP1175,Eva Miller,25.0,Admin,California,Pending,2024-04-10,71628.93,eva.miller@example.com,8155839385,Excellent,False
176,EMP1176,Alice Williams,30.0,Admin,Illinois,Pending,2022-03-31,54870.98,alice.williams@example.com,6133155205,Good,False
177,EMP1177,Alice Williams,25.0,DevOps,Illinois,Active,2022-02-09,79388.27,alice.williams@example.com,5063731494,Average,True
178,EMP1178,Frank Smith,35.0,DevOps,California,Pending,2023-05-06,55946.99,frank.smith@example.com,136497188,Average,False
179,EMP1179,Charlie Williams,30.0,Cloud Tech,Nevada,Active,2021-07-11,81017.91,charlie.williams@example.com,2419562524,Excellent,True
180,EMP1180,Heidi Jones,40.0,HR,New York,Pending,2020-08-21,74162.1,heidi.jones@example.com,7150997682,Excellent,False
181,EMP1181,Heidi Davis,30.0,DevOps,California,Active,2021-03-27,77668.44,heidi.davis@example.com,8903091435,Good,True
182,EMP1182,Alice Miller,30.0,HR,New York,Active,2024-04-14,67886.37,alice.miller@example.com,3910257431,Poor,False
183,EMP1183,Alice Williams,40.0,DevOps,Florida,Active,2020-09-21,76614.52,alice.williams@example.com,6303975244,Good,True
184,EMP1184,Frank Smith,25.0,Finance,Nevada,Active,2022-06-12,51311.91,frank.smith@example.com,864035532,Excellent,False
185,EMP1185,Frank Jones,30.0,Finance,Illinois,Inactive,2023-12-24,94809.92,frank.jones@example.com,8033968526,Good,True
186,EMP1186,Grace Johnson,25.0,HR,New York,Pending,2022-07-31,108241.81,grace.johnson@example.com,171302320,Excellent,True
187,EMP1187,Bob Davis,40.0,Cloud Tech,New York,Inactive,2023-04-21,78031.49,bob.davis@example.com,2983381673,Good,True
188,EMP1188,Eva Davis,35.0,Admin,California,Active,2020-06-05,85733.83,eva.davis@example.com,2336293448,Excellent,True
189,EMP1189,David Miller,35.0,HR,Nevada,Pending,2024-07-27,60338.29,david.miller@example.com,7347156626,Excellent,False
190,EMP1190,Eva Davis,30.0,Admin,Illinois,Active,2024-04-05,103140.67,eva.davis@example.com,7689627065,Excellent,False
191,EMP1191,Heidi Williams,40.0,Sales,Illinois,Inactive,2023-10-26,114690.8,heidi.williams@example.com,1498282466,Poor,True
192,EMP1192,Frank Smith,35.0,Admin,Florida,Active,2022-08-18,80954.56,frank.smith@example.com,4746897151,Good,False
193,EMP1193,Eva Davis,30.0,Cloud Tech,California,Pending,2020-05-31,71728.55,eva.davis@example.com,7323008575,Good,True
194,EMP1194,Alice Davis,35.0,HR,Texas,Pending,2024-11-04,118415.8,alice.davis@example.com,6656749159,Good,True
195,EMP1195,Grace Johnson,40.0,Sales,Illinois,Pending,2020-03-25,81481.36,grace.johnson@example.com,1692364586,Excellent,False
196,EMP1196,David Johnson,35.0,Sales,Florida,Pending,2020-11-04,117040.57,david.johnson@example.com,5066337049,Good,True
197,EMP1197,Frank Brown,25.0,Sales,Nevada,Active,2020-03-21,67342.06,frank.brown@example.com,2497243991,Good,True
198,EMP1198,Heidi Jones,30.0,Sales,Illinois,Active,2022-01-15,76099.64,heidi.jones@example.com,116691835,Excellent,False
199,EMP1199,Grace Williams,35.0,DevOps,Illinois,Active,2024-06-04,94162.06,grace.williams@example.com,2644886945,Average,True
200,EMP1200,Frank Davis,25.0,Sales,Nevada,Inactive,2021-08-04,67639.7,frank.davis@example.com,1195243639,Excellent,True
201,EMP1201,Charlie Garcia,35.0,Cloud Tech,Illinois,Pending,2020-10-16,114172.25,charlie.garcia@example.com,2701168645,Good,True
202,EMP1202,Grace Davis,30.0,Sales,Nevada,Active,2021-09-26,89124.54,grace.davis@example.com,2252237280,Excellent,True
203,EMP1203,Frank Smith,30.0,DevOps,Nevada,Pending,2023-11-04,113871.36,frank.smith@example.com,7932302345,Average,False
204,EMP1204,Grace Brown,30.0,HR,Texas,Inactive,2021-09-24,62618.4,grace.brown@example.com,7912141613,Excellent,False
205,EMP1205,Heidi Jones,30.0,Admin,New York,Active,2020-06-07,70705.45,heidi.jones@example.com,1509377099,Good,False
206,EMP1206,Alice Garcia,35.0,Sales,New York,Pending,2022-02-10,60797.69,alice.garcia@example.com,4090138068,Average,True
207,EMP1207,Charlie Brown,40.0,Cloud Tech,Florida,Inactive,2023-10-17,100371.0,charlie.brown@example.com,8477596554,Poor,True
208,EMP1208,Eva Miller,40.0,Admin,Illinois,Active,2021-09-25,117591.76,eva.miller@example.com,5356690550,Good,False
209,EMP1209,David Jones,35.0,DevOps,Illinois,Inactive,2022-08-03,103860.7,david.jones@example.com,762091842,Average,True
210,EMP1210,Grace Davis,30.0,Admin,Illinois,Active,2024-11-22,67500.22,grace.davis@example.com,5797863049,Average,True
211,EMP1211,Frank Davis,30.0,Cloud Tech,Nevada,Pending,2024-10-09,58727.44,frank.davis@example.com,5057397690,Poor,True
212,EMP1212,Charlie Jones,35.0,Finance,Illinois,Active,2024-08-28,80623.08,charlie.jones@example.com,5671649327,Excellent,True
213,EMP1213,David Davis,40.0,HR,Texas,Inactive,2020-04-19,77751.78,david.davis@example.com,9802714871,Excellent,False
214,EMP1214,Grace Williams,25.0,HR,New York,Active,2021-10-14,115157.81,grace.williams@example.com,7178333210,Good,False
